Nodes:30808
204	140.70790317	188.00540406	-126.24003026	Density:0.045639
205	141.57426289	185.84182445	-120.61334129	Density:0.063371
207	137.03359416	189.75207006	-117.91696671	Density:0.074213
210	135.74350101	191.45911405	-118.32490938	Density:0.075114
211	137.82225258	192.33962747	-117.89002622	Density:0.085239
212	135.11867786	191.03400190	-115.68191005	Density:0.093499
217	127.90926912	187.78619748	-101.85204091	Density:0.071056
221	126.85727039	186.56760971	-95.28712448	Density:0.051928
223	128.55062040	185.55153688	-93.91960976	Density:0.054326
224	128.86270169	184.08508230	-96.07260640	Density:0.060793
225	126.09673948	188.65024721	-99.33485706	Density:0.077982
228	122.18950334	187.99538876	-96.92059204	Density:0.099693
230	121.12736174	186.83677607	-94.66688355	Density:0.107029
232	121.06659968	183.45008986	-93.82791815	Density:0.093834
233	118.39392683	184.35822486	-93.66506162	Density:0.106614
235	119.60817314	186.74992104	-100.21273137	Density:0.093754
236	120.41866344	184.99808446	-101.07875503	Density:0.084204
239	134.14975527	186.68538087	-105.94392665	Density:0.095804
240	134.32214241	187.71517624	-106.74000341	Density:0.096244
242	131.99688268	191.58237769	-106.51524170	Density:0.099569
246	131.76582182	194.73021644	-99.39421906	Density:0.132443
248	132.19853386	197.57544900	-99.62054003	Density:0.128936
251	133.00903684	198.97232909	-101.22778066	Density:0.116485
252	133.33312869	198.51641456	-103.46465632	Density:0.094843
253	129.80770295	201.54169332	-103.18318094	Density:0.084406
256	130.56039030	188.80897419	-98.81065703	Density:0.058556
257	130.18695933	190.32690803	-98.60462542	Density:0.056604
259	137.94790038	191.84841313	-99.45818316	Density:0.152014
260	137.94790038	191.84841313	-103.43666465	Density:0.131560
262	131.96180125	195.20427700	-107.47835010	Density:0.139755
264	130.72785039	197.21702410	-108.02901947	Density:0.059639
266	130.34442480	197.63336786	-110.20539785	Density:0.068059
267	132.33366555	196.30720737	-112.19463859	Density:0.104425
270	124.26102521	186.18637774	-112.83970804	Density:0.121362
272	125.31660544	187.95095405	-114.87409431	Density:0.112920
273	127.10535701	186.36632218	-115.22056874	Density:0.118276
277	118.29669832	187.28432163	-107.88450281	Density:0.059358
279	119.16695968	190.49760686	-106.80206748	Density:0.076811
281	116.00902112	191.03310947	-108.04238499	Density:0.067461
283	117.23615655	192.89947952	-104.95292943	Density:0.067310
285	114.39345841	195.00108965	-102.19404150	Density:0.063382
287	112.34842983	188.97940771	-105.15247004	Density:0.056691
288	112.34842983	188.97940771	-103.16322929	Density:0.070732
290	119.14212564	188.04449578	-111.45092728	Density:0.096999
292	118.28174755	188.86500856	-114.61125828	Density:0.085568
293	120.27098829	188.86500856	-114.61125828	Density:0.088038
296	115.87977082	182.88809959	-110.79874049	Density:0.071863
299	113.80706305	183.23268960	-114.14065511	Density:0.093163
300	113.80230981	180.38219229	-112.25389389	Density:0.078308
301	116.05910256	180.99699307	-114.21994621	Density:0.093740
303	120.62710874	181.19935192	-113.41944184	Density:0.091723
304	122.33458006	181.06699932	-113.73275861	Density:0.085868
310	126.51668607	175.62396103	-100.68775753	Density:0.100768
312	126.39574057	174.16138903	-98.40999593	Density:0.102145
313	124.39733844	174.74873123	-99.00284901	Density:0.088731
314	125.94217334	176.27378739	-104.08767263	Density:0.106698
316	120.55741200	176.26803594	-105.65568548	Density:0.087521
318	119.21048900	171.98554499	-107.44738703	Density:0.114517
319	120.40403344	171.45508079	-105.72337838	Density:0.097768
321	123.87113405	173.28978386	-112.64500777	Density:0.102629
323	123.99895848	170.92024899	-113.18031185	Density:0.093535
326	122.59664487	167.82992640	-113.82730233	Density:0.112958
327	123.29529550	170.61301545	-116.63939836	Density:0.087446
328	125.19964885	169.20332988	-113.86555201	Density:0.103297
331	133.73216759	174.76147993	-109.88965039	Density:0.109676
332	134.17501461	173.71833838	-110.81022961	Density:0.104644
334	133.00352261	171.64033893	-110.20306915	Density:0.104524
336	131.37088772	170.28171366	-112.99627540	Density:0.099924
338	133.24906461	168.55235234	-110.99056000	Density:0.111829
340	132.64389589	165.75053211	-107.53734580	Density:0.128654
341	134.71032761	165.74956274	-108.96576991	Density:0.109238
348	131.65284945	171.65701921	-125.75773124	Density:0.074859
351	133.56725997	174.17416716	-126.88576726	Density:0.085051
352	135.16327824	170.35029931	-126.90609281	Density:0.109233
355	132.48407223	166.23518928	-132.40187747	Density:0.094728
356	131.67874410	167.32704095	-135.59433048	Density:0.096819
358	131.77524465	172.54035909	-133.99702016	Density:0.115681
360	130.73525878	170.80986728	-137.18995939	Density:0.083577
362	127.82364040	168.37910367	-138.80733682	Density:0.075450
363	127.16056015	169.70526417	-138.14425657	Density:0.073151
365	131.51051225	169.59216120	-122.18969198	Density:0.077251
366	131.17897213	172.90756244	-122.18969198	Density:0.080137
368	126.10424183	166.25628400	-124.65307714	Density:0.071920
370	124.97488090	166.10185836	-128.75327748	Density:0.089283
373	127.11901115	160.43486147	-128.14513820	Density:0.072171
375	124.77527630	162.09162008	-131.73042465	Density:0.087913
376	127.13407901	161.36458594	-131.15763526	Density:0.082831
377	126.23013360	163.36949476	-125.87953870	Density:0.077392
381	120.77627496	175.76580699	-119.27200930	Density:0.071529
382	121.77032713	174.93822542	-119.29743682	Density:0.072918
385	124.47354477	182.50992919	-122.65303431	Density:0.072514
388	127.01253362	185.46672496	-123.51245996	Density:0.075669
390	127.97709420	185.72695348	-126.09189147	Density:0.085129
392	127.16336202	189.06587578	-127.37431829	Density:0.109755
393	128.31289145	188.12974912	-127.76696639	Density:0.099359
395	121.14601421	184.97624235	-126.61348544	Density:0.124671
396	119.15677346	183.98162198	-123.62962433	Density:0.113642
397	120.30244484	180.59736260	-123.72456522	Density:0.092337
402	111.70435569	169.21500124	-128.94302074	Density:0.074444
403	110.37819519	169.87808149	-126.95378000	Density:0.093248
406	107.23602488	177.57924728	-124.61450881	Density:0.110232
408	105.22434259	176.74766920	-126.21626623	Density:0.105352
410	102.73094009	175.03312595	-126.27715414	Density:0.106617
411	103.16765919	173.03586723	-125.95701258	Density:0.112351
413	109.22757688	177.47258094	-125.13465516	Density:0.113832
415	113.03935360	179.36025271	-124.50767046	Density:0.098596
416	113.03935360	179.36025271	-126.49691121	Density:0.107623
419	116.42787205	169.66270967	-131.98883462	Density:0.092137
422	121.12493423	167.10444099	-133.64838317	Density:0.089503
423	122.11955460	167.10444099	-132.65376280	Density:0.085285
425	115.29985803	164.07145836	-132.88991393	Density:0.079949
426	113.79655225	164.39313273	-132.58000203	Density:0.084502
427	115.71057268	168.93621552	-127.93629639	Density:0.080655
429	116.97053745	169.75600478	-121.38354930	Density:0.105877
432	117.96211035	168.79141057	-118.81207960	Density:0.067999
433	118.05249138	170.36654275	-118.44486178	Density:0.072764
434	114.92571363	172.98470471	-119.94735771	Density:0.106555
438	120.01567003	179.49839931	-133.16134652	Density:0.116048
440	125.56337972	182.56645469	-131.15508743	Density:0.170922
442	128.46691637	181.35104733	-135.05379759	Density:0.222957
443	127.54904531	182.75866692	-133.37292536	Density:0.180396
445	122.16304017	176.25543753	-137.91473561	Density:0.132107
447	120.96075185	175.10898599	-138.47082353	Density:0.123694
448	122.76167882	173.08433696	-137.96038305	Density:0.083051
