Nodes:30808
16	151.95507498	165.51654335	-115.39726376	1	Density:0.150076
19	150.65582832	161.37264416	-118.57557427	1	Density:0.078180
20	154.33285479	163.13519346	-116.63372630	1	Density:0.154070
21	153.03563458	166.38003853	-118.80018879	1	Density:0.118122
23	152.51697283	173.25028546	-115.58486512	1	Density:0.055214
25	154.17817831	171.88221140	-118.77755251	1	Density:0.127109
26	151.77019365	173.27902703	-118.30067994	1	Density:0.144084
28	148.87549714	171.80609925	-111.26365788	1	Density:0.104143
31	152.20881279	166.75120432	-108.46760071	1	Density:0.091161
33	149.76584721	165.56679581	-107.48536824	1	Density:0.163057
35	152.89559609	163.74651205	-107.15180875	1	Density:0.037240
36	151.99794642	162.87736428	-108.50542496	1	Density:0.062204
39	154.25249668	173.20092363	-110.01564640	1	Density:0.104143
40	152.80365324	173.34784012	-109.89618336	1	Density:0.100148
42	151.33494001	172.87304806	-107.65841074	1	Density:0.116125
45	153.58819952	174.21005199	-104.87089883	1	Density:0.062204
46	151.55500615	174.19798677	-102.98836139	1	Density:0.052218
48	145.90508467	173.58230620	-104.97751015	1	Density:0.096154
51	142.42804172	173.57251413	-106.63450774	1	Density:0.166053
52	143.57956032	173.17282697	-109.67019625	1	Density:0.116125
53	146.21237543	170.04538722	-104.86893018	1	Density:0.088166
55	142.07422827	171.52158576	-115.25503992	1	Density:0.108137
60	139.57287174	174.54840530	-120.20864723	1	Density:0.104143
61	136.22940569	175.88094855	-119.41135899	1	Density:0.077182
62	137.20895227	170.83158236	-120.50939341	1	Density:0.123115
63	137.52402144	168.47669188	-117.22010774	1	Density:0.086169
64	139.24789019	169.05356622	-115.69059987	1	Density:0.139092
68	140.13936328	160.64586962	-118.87580622	1	Density:0.113129
71	139.79786892	155.25813350	-121.94352718	1	Density:0.008282
74	143.92942898	153.13223290	-117.68695833	1	Density:0.118122
75	143.92942898	155.12147364	-117.68695833	1	Density:0.141089
76	140.54595471	153.77279306	-120.99424869	1	Density:0.006285
77	139.72510701	158.50114766	-123.42120199	1	Density:0.099150
78	140.34654699	164.30316495	-123.56362319	1	Density:0.267904
81	147.67968280	159.09598585	-126.04653686	1	Density:0.106140
84	148.25868438	158.67900358	-129.60410421	1	Density:0.158064
88	144.66206176	164.28221428	-127.37843026	1	Density:0.197007
89	140.20064591	161.56024326	-128.04132778	1	Density:0.372752
90	143.39923764	160.86681150	-129.93287617	1	Density:0.139092
91	146.53782416	156.44138064	-128.84939369	1	Density:0.024259
92	148.40374925	162.73569867	-128.03789792	1	Density:0.094157
95	150.27023960	159.59481776	-120.81968328	1	Density:0.135098
97	153.14410358	158.17337899	-120.16474456	1	Density:0.127109
99	152.44468250	157.71120175	-124.17696905	1	Density:0.073188
100	154.43392324	157.71120175	-124.17696905	1	Density:0.104143
102	147.34473726	158.84060961	-119.10459858	1	Density:0.130105
103	147.28637849	156.21310849	-121.01860735	1	Density:0.104143
105	147.62183397	176.03131769	-125.43537007	1	Density:0.349785
109	147.92661569	181.92890275	-131.90040082	1	Density:0.472607
112	146.47270285	183.48473421	-129.73618211	1	Density:0.344792
113	146.36023430	186.35792124	-131.84720098	1	Density:0.087167
115	147.79151015	182.72495755	-137.63830428	1	Density:0.020265
117	145.83984117	182.59012221	-139.97280541	1	Density:0.144084
119	145.14411151	181.53202902	-142.15775044	1	Density:0.062204
122	146.92551924	181.30382264	-144.16270045	1	Density:0.078180
124	149.73019407	183.60547211	-140.71680335	1	Density:0.024259
125	149.79713829	181.72296824	-142.51667050	1	Density:0.024259
126	146.64267644	179.65069891	-142.88289382	1	Density:0.058209
128	144.98259249	177.38616738	-133.93464151	1	Density:0.021263
130	141.43978933	178.16591843	-132.54343232	1	Density:0.090163
132	140.17676805	174.53216036	-129.71423693	1	Density:0.147080
